Place,Area
Bega-Eden Hinterland,4710.2068
Broulee - Tomakin,24.2329
Deua - Wadbilliga,2781.9988
Eden,94.8138
Eurobodalla Hinterland,1460.0117
Merimbula - Tura Beach,97.3395
Moruya - Tuross Head,165.4118
Narooma - Bermagui,252.652
Goulburn,64.7865
Goulburn Region,9035.1221
Yass,99.7342
Yass Region,5680.8782
Young,505.7528
Young Region,5849.8086
Avoca Beach - Copacabana,6.4376
Box Head - MacMasters Beach,32.086
Calga - Kulnura,767.9512
Erina - Green Point,33.7934
Gosford - Springfield,16.9124
Kariong,8.3063
Kincumber - Picketts Valley,12.0887
Narara,7.7021
Niagara Park - Lisarow,16.7316
Point Clare - Koolewong,6.7874
Saratoga - Davistown,4.7683
Terrigal - North Avoca,10.1073
Umina - Booker Bay - Patonga,25.2284
Wamberal - Forresters Beach,13.7221
Woy Woy - Blackwall,17.4225
Wyoming,8.381
Bateau Bay - Killarney Vale,10.8595
Blue Haven - San Remo,20.9797
Budgewoi - Buff Point - Halekulani,9.3531
Chittaway Bay - Tumbi Umbi,24.4986
Gorokan - Kanwal - Charmhaven,11.249
Jilliby - Yarramalong,346.7662
Lake Munmorah - Mannering Park,35.4946
Ourimbah - Fountaindale,114.1172
Summerland Point - Gwandalan,9.1793
The Entrance,13.8576
Toukley - Norah Head,10.5216
Tuggerah - Kangy Angy,27.8463
Warnervale - Wadalba,42.89
Wyong,15.0334
Bathurst,119.5048
Bathurst - East,94.0341
Bathurst Region,3798.2628
Oberon,2972.3813
Condobolin,15858.8501
Cowra,242.201
Cowra Region,3037.1557
Forbes,4598.0438
Grenfell,3294.0766
Parkes (NSW),234.7556
Parkes Region,5418.1649
West Wyalong,8317.4729
Lithgow,119.9844
Lithgow Region,2514.07
Mudgee,65.8948
Mudgee Region - East,2852.0843
Mudgee Region - West,8043.8635
Wollangambe - Wollemi,2448.7276
Blayney,1642.6748
Orange,45.2499
Orange - North,99.5118
Orange Region,4480.0957
Grafton,106.2537
Grafton Region,8445.8909
Maclean - Yamba - Iluka,711.0493
Bellingen,1001.0481
Coffs Harbour - North,25.6688
Coffs Harbour - South,33.6996
Coramba - Nana Glen - Bucca,363.909
Dorrigo,1987.6714
Korora - Emerald Beach,57.6881
Sawtell - Boambee,118.2251
Urunga,108.4124
Woolgoolga - Arrawarra,270.2414
Bourke - Brewarrina,56843.6928
Cobar,45551.3981
Coonamble,12142.3534
Nyngan - Warren,21216.0023
Walgett - Lightning Ridge,27011.6794
Broken Hill,170.1153
Far West,146690.0605
Coonabarabran,10474.1332
Dubbo - East,87.6912
Dubbo - South,25.4336
Dubbo - West,69.4359
Dubbo Region,4128.5683
Gilgandra,5393.4381
Narromine,5956.2535
Wellington,3603.4369
Branxton - Greta - Pokolbin,392.2861
Cessnock,68.9813
Cessnock Region,1570.4341
Dungog,2249.9983
Kurri Kurri - Abermain,90.6145
Singleton,127.2317
Singleton Region,4067.2349
Maitland,32.079
Maitland - East,40.5895
Maitland - North,70.5477
Maitland - West,175.4357
Thornton - Millers Forest,61.4649
Anna Bay,68.05
Lemon Tree Passage - Tanilba Bay,29.9822
Nelson Bay Peninsula,47.4762
Raymond Terrace,109.4864
Seaham - Woodville,247.4836
Tea Gardens - Hawks Nest,204.3164
Williamtown - Medowie - Karuah,365.182
Muswellbrook,262.3964
Muswellbrook Region,3142.4876
Scone,118.5743
Scone Region,7948.9587
Dapto - Avondale,56.6003
Horsley - Kembla Grange,44.2401
Port Kembla Industrial,12.7352
Unanderra - Mount Kembla,25.1483
Berkeley - Lake Heights - Cringila,12.5307
Port Kembla - Warrawong,6.9708
Windang - Primbee,5.4708
Illawarra Catchment Reserve,744.3423
Albion Park - Macquarie Pass,75.1256
Albion Park Rail,7.1682
Kiama,13.8552
Kiama Downs - Minnamurra,7.261
Kiama Hinterland - Gerringong,222.261
Shellharbour - Flinders,49.5814
Shellharbour - Oak Flats,6.051
Warilla,9.4949
Balgownie - Fairy Meadow,12.2638
Corrimal - Tarrawanna - Bellambi,11.0648
Figtree - Keiraville,18.8129
Helensburgh,154.8373
Thirroul - Austinmer - Coalcliff,16.1558
Woonona - Bulli - Russell Vale,15.7847
Wollongong - East,5.5037
Wollongong - West,5.6592
Bulahdelah - Stroud,2334.0245
Forster,33.873
Forster-Tuncurry Region,749.4773
Tuncurry,15.6698
Kempsey,195.1562
Kempsey Region,3627.2593
Macksville - Scotts Head,83.793
Nambucca Heads,31.0504
Nambucca Heads Region,1356.0987
South West Rocks,45.9673
Lord Howe Island,16.2918
Laurieton - Bonny Hills,524.9065
Port Macquarie - East,42.088
Port Macquarie - West,54.1669
Port Macquarie Region,2871.7473
Wauchope,194.8613
Gloucester,2933.8676
Old Bar - Manning Point - Red Head,209.6182
Taree,125.1186
Taree Region,3344.933
Wingham,61.5308
Albury - East,101.514
Albury - North,24.1552
Albury - South,48.4215
Albury Region,5401.9272
Lavington,21.467
Hay,13922.8975
Wentworth - Buronga,322.6286
Wentworth-Balranald Region,49722.7108
Corowa,77.2039
Corowa Region,4495.2034
Deniliquin,143.2081
Deniliquin Region,18338.1895
Moama,167.1016
Tocumwal - Finley - Jerilderie,5011.0471
Armidale,274.5995
Armidale Region - North,6098.2353
Armidale Region - South,3280.2792
Walcha,6742.5352
Glen Innes,5479.977
Inverell,207.6617
Inverell Region - East,9274.5669
Inverell Region - West,8283.6397
Tenterfield,7322.793
Moree,69.3971
Moree Region,19811.1371
Narrabri,180.363
Narrabri Region,11965.644
Gunnedah,90.1551
Gunnedah Region,5765.8611
Quirindi,5077.8423
Tamworth - East,102.1806
Tamworth - North,76.0423
Tamworth - West,62.5221
Tamworth Region,8980.4841
Belmont - Bennetts Green,22.2119
Belmont South - Blacksmiths,6.8068
Charlestown - Dudley,22.2796
Glendale - Cardiff - Hillsborough,21.9175
Mount Hutton - Windale,6.2654
Redhead,3.6826
Swansea - Caves Beach,32.4069
Valentine - Eleebana,9.9749
Warners Bay - Boolaroo,12.5402
Bolton Point - Teralba,21.9697
Bonnells Bay - Silverwater,10.1593
Edgeworth - Cameron Park,15.6077
Morisset - Cooranbong,330.5208
Toronto - Awaba,43.6626
Wangi Wangi - Rathmines,13.1715
West Wallsend - Barnsley - Killingworth,72.5413
Adamstown - Kotara,8.0182
Beresfield - Hexham,59.2573
Hamilton - Broadmeadow,6.7462
Lambton - New Lambton,10.5485
Maryland - Fletcher - Minmi,17.2635
Mayfield - Warabrook,7.5372
Merewether - The Junction,7.2464
Newcastle - Cooks Hill,3.9804
Newcastle Port - Kooragang,30.8883
Shortland - Jesmond,12.7086
Stockton - Fullerton Cove,30.5131
Wallsend - Elermore Vale,21.5199
Waratah - North Lambton,5.114
